Glyma.01G000100,22.938702
Glyma.01G000200,10.610697
Glyma.01G000300,4.5042086
Glyma.01G000400,48.55139
Glyma.01G000500,0.9151313
Glyma.01G000600,45.01253
Glyma.01G000700,76.10492
Glyma.01G000800,0.125956462
Glyma.01G000900,84.0853
Glyma.01G001000,149.1097
Glyma.01G001100,39.48966
Glyma.01G001200,22.502318
Glyma.01G001300,263.7278
Glyma.01G001400,0
Glyma.01G001500,4.11038632
Glyma.01G001600,26.10723
Glyma.01G001700,45.03808
Glyma.01G001800,1.8156519
Glyma.01G001900,33.22712531
Glyma.01G002000,77.806061
Glyma.01G002100,48.13793
Glyma.01G002200,55.36459
Glyma.01G002300,3.958374
Glyma.01G002400,156.54404
Glyma.01G002500,0.1289562
Glyma.01G002600,140.40321
Glyma.01G002700,117.32781
Glyma.01G002800,0.422718
Glyma.01G002900,8.808511
Glyma.01G003000,36.3513935
Glyma.01G003100,22.302
Glyma.01G003200,10.34317
Glyma.01G003300,0.4282196
Glyma.01G003400,16.872046
Glyma.01G003500,0.1790123
Glyma.01G003600,49.10976
Glyma.01G003700,175.78561
Glyma.01G003800,147.6236
Glyma.01G003900,2.8752369
Glyma.01G004000,43.482217
Glyma.01G004100,39.39118
Glyma.01G004200,259.928158
Glyma.01G004300,1833.8166
Glyma.01G004400,1.760927
Glyma.01G004500,324.809
Glyma.01G004600,98.003597
Glyma.01G004700,14.38497
Glyma.01G004800,12.6819862
Glyma.01G004900,1.6077587
Glyma.01G005000,197.28156
Glyma.01G005100,163.8730451
Glyma.01G005200,30.844459
Glyma.01G005300,267.5675
Glyma.01G005400,120.90858
Glyma.01G005500,8.541515
Glyma.01G005600,33.404711
Glyma.01G005700,0.6129646
Glyma.01G005800,8.5589736
Glyma.01G005900,4.7979864
Glyma.01G006000,102.04447
Glyma.01G006100,82.39916
Glyma.01G006200,1212.7396
Glyma.01G006300,4.060476
Glyma.01G006400,128.11008
Glyma.01G006500,57.84797
Glyma.01G006600,48.86276
Glyma.01G006700,63.1513
Glyma.01G006800,11.386206
